,Unnamed: 0,Time,X_velocity,Y_velocity,Z_velocity,X_angular,Y_angular,Z_angular,X_acceleration,Y_acceleration,Z_acceleration,Vertical_Speed,Pitch,Bank,Yaw,IAS,Greyout,IOP,Blood_Pressure,Temperature,Breath,SPO2,OPP
330,330,6.011,-73.25826263,-57.31632996,135.6008301,-0.001026373,-0.011271916,-0.153805882,0.043591183,-0.743439078,0.002051934,-57.31632996,-0.427928239,0.044334114,2.064735889,141.1967773,0,13.112737678358156,114.97847243019113,36.42370410758068,16.144974148968764,98.18858701034917,101.86573475183297
331,331,6.028,-73.22718048,-57.65366364,135.5559845,-0.000735518,-0.011317017,-0.150775298,0.044856153,-0.768191695,0.003338198,-57.65366364,-0.430974752,0.044275355,2.064836025,141.2457428,0,13.109419342883562,115.05833212034126,36.42336812409042,16.14213558309476,98.20287738833171,101.9489127774577
332,332,6.045,-73.19589996,-57.9908371,135.5107727,-0.000445606,-0.011362213,-0.147744596,0.04489167,-0.768172443,0.003336652,-57.9908371,-0.433960766,0.044220328,2.064940453,141.2949677,0,13.10824077900314,115.05827000020581,36.42303123451498,16.143007997572248,98.20250282857499,101.95002922120267
333,333,6.063,-73.16377258,-58.33165359,135.4638367,-0.000147259,-0.011382802,-0.144722164,0.046152703,-0.788987696,0.004618909,-58.33165359,-0.43688634,0.044169258,2.065048695,141.3444977,0,13.105328347957503,115.12544075027598,36.42268816054695,16.14078055882841,98.21445573360606,102.02011240231849
334,334,6.079,-73.16377258,-58.33165359,135.4638367,-0.000147259,-0.011382802,-0.144722164,0.046152703,-0.788987696,0.004618909,-58.33165359,-0.43688634,0.044169258,2.065048695,141.3444977,0,13.105328347957503,115.12544075027598,36.42268816054695,16.14078055882841,98.21445573360606,102.02011240231849
335,335,6.096,-73.13144684,-58.67230606,135.4165192,0.00015001,-0.011403481,-0.141699612,0.046187036,-0.788968861,0.004617176,-58.67230606,-0.439751536,0.04412229,2.065161228,141.3943634,0,13.1042206097996,115.12537996392984,36.422344182577866,16.141664220611094,98.2140766952587,102.02115935413025
336,336,6.113,-73.0983963,-59.01604462,135.3676453,0.000453936,-0.011400457,-0.138712138,0.047283277,-0.806801915,0.005891016,-59.01604462,-0.442556798,0.044079617,2.065276623,141.4446411,0,13.101631285558259,115.1829374686177,36.4219949286429,16.13990318265814,98.22425728909273,102.08130618305944
337,337,6.13,-73.06515503,-59.35962296,135.3184052,0.000756679,-0.011397516,-0.135724545,0.047316197,-0.806783676,0.005889128,-59.35962296,-0.445302308,0.04404138,2.065394878,141.4953461,0,13.100592494993931,115.18287859604197,36.42164480682277,16.14080157348554,98.22387241317202,102.08228610104804
338,338,6.147,-73.03129578,-59.7057457,135.2677765,0.001064426,-0.011371887,-0.132796288,0.048233472,-0.821723282,0.007148462,-59.7057457,-0.447988838,0.044007767,2.065516472,141.5465393,0,13.098316792308893,115.2311045768526,36.42129023310024,16.139492714196837,98.23233286575086,102.13278778454371
339,339,6.164,-72.99724579,-60.05170441,135.2167969,0.001370913,-0.011346336,-0.129867941,0.048264746,-0.821705759,0.007146447,-60.05170441,-0.450616866,0.0439789,2.06564045,141.5982513,0,13.097344769028794,115.23104800762208,36.420934793482004,16.14040878051968,98.23194098559338,102.13370323859328
340,340,6.181,-72.96269989,-60.39969635,135.1645966,0.001680879,-0.01129921,-0.127020672,0.048994467,-0.833860099,0.008385451,-60.39969635,-0.453187317,0.043954954,2.065766811,141.6505432,0,13.095370936903556,115.2702878685757,36.42057578593768,16.13953608202411,98.23874466705212,102.17491693167216
341,341,6.198,-72.96269989,-60.39969635,135.1645966,0.001680879,-0.01129921,-0.127020672,0.048994467,-0.833860099,0.008385451,-60.39969635,-0.453187317,0.043954954,2.065766811,141.6505432,0,13.095370936903556,115.2702878685757,36.42057578593768,16.13953608202411,98.23874466705212,102.17491693167216
342,342,6.215,-72.92796326,-60.74752808,135.1120605,0.001989535,-0.011252155,-0.124173291,0.049023971,-0.83384341,0.00838334,-60.74752808,-0.455700815,0.043936044,2.065894604,141.7034302,0,13.094462974068495,115.27023398571492,36.42021591050282,16.140472775809197,98.23834461261572,102.17577101164643
